planet_name,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_teq,koi_insol,koi_disposition
5440435,78.04064906,2.15,,,,,,,,,,FALSE POSITIVE
5440472,396.349253,2.685,413.1,2.39,1.168,5.7,0.0384,6495.0,4.379,293.0,1.73,FALSE POSITIVE
5440651,0.502807253,1.01493,4658.7,26.81,0.715,240.0,1.2503,5109.0,4.564,1825.0,2623.68,FALSE POSITIVE
5443320,21.3684341,1.18,492.8,1.72,0.786,9.7,0.063,5204.0,4.515,551.0,21.86,CANDIDATE
5446961,149.526152,3.033,753.0,1.69,0.628,7.6,0.4364,3978.0,4.642,202.0,0.39,FALSE POSITIVE
5467126,2.845736321,11.5703,3127.0,402.16,10.154,297.8,1.294,4878.0,2.745,3058.0,20649.68,FALSE POSITIVE
6511182,29.5632952,1.562,532.8,1.9,0.828,10.4,0.154,5595.0,4.562,527.0,18.23,CANDIDATE
6517064,181.81214,16.164,474.6,2.04,0.925,21.3,0.3694,6060.0,4.509,324.0,2.6,CANDIDATE
6517200,435.50635,34.16,553.8,2.06,0.882,8.2,0.1452,5750.0,4.538,225.0,0.61,CANDIDATE
6517255,525.560452,2.327,1196.0,12.74,3.796,10.9,0.0878,4954.0,3.408,359.0,3.92,CANDIDATE
6522124,43.60012467,1.48,,,,,,,,,,FALSE POSITIVE
6525196,1.710299164,3.92227,157270.0,57.97,1.006,2291.1,0.878,6082.0,4.385,1638.0,1700.05,FALSE POSITIVE
6525398,252.04444,5.13,1502.0,2.49,0.664,6.1,0.1903,4514.0,4.621,196.0,0.35,FALSE POSITIVE
6526377,1.39508873,2.09,,,,,,,,,105390.13,FALSE POSITIVE
1164301,95.688682,6.465,453.8,28.41,13.056,9.8,0.5497,5040.0,2.681,1046.0,283.07,CANDIDATE
1297263,153.521361,3.893,255.2,3.09,1.921,5.7,0.1485,6233.0,3.951,493.0,13.99,FALSE POSITIVE
1429589,38.168652,5.086,90.6,1.4,1.465,8.3,0.0283,6164.0,4.117,696.0,55.36,CANDIDATE
1572948,3.0031801,2.814,374.7,4.7,1.768,13.9,0.98,6606.0,4.071,1827.0,2630.88,FALSE POSITIVE
1725193,2.96384168,5.4768,35653.0,43.7,1.158,607.5,1.059,6095.0,4.371,1406.0,925.63,FALSE POSITIVE
1865864,69.089357,6.207,475.1,1.47,0.698,8.6,0.051,4848.0,4.581,332.0,2.87,CANDIDATE
1870398,43.142257,61.73,283.2,37.88,1.769,30.5,1.179,6198.0,4.069,706.0,58.68,FALSE POSITIVE
1873513,3.290304098,1.7215,13553.0,4.91,0.427,220.5,0.09,3386.0,4.81,540.0,20.06,CONFIRMED
4164511,40.9882124,3.599,145.8,1.44,1.174,11.3,0.2697,6705.0,4.328,657.0,43.98,CANDIDATE
4179201,326.70552,3.36,794.0,2.83,0.998,9.1,0.0826,6036.0,4.337,287.0,1.61,FALSE POSITIVE
4241238,138.333748,2.391,603.6,6.28,2.547,8.4,0.4579,4948.0,3.588,488.0,13.45,CANDIDATE
4242806,343.49816,7.46,431.0,1.27,0.624,7.1,0.3516,4256.0,4.635,164.0,0.17,FALSE POSITIVE
4245861,11.2582311,16.89,300.4,1.24,0.722,22.2,0.115,5242.0,4.556,667.0,46.86,FALSE POSITIVE
4246343,139.54219147,3.42,,,,,,,,,,FALSE POSITIVE
4253860,155.046089,10.205,2238.0,444.08,12.613,36.7,1.271,6513.0,2.782,1101.0,347.12,FALSE POSITIVE
4274816,14.3641542,2.629,89.2,0.98,1.033,6.5,0.2764,5925.0,4.364,795.0,94.33,FALSE POSITIVE
5470851,12.4276185,18.56,147.0,1.14,0.942,12.6,0.303,5869.0,4.513,768.0,82.45,FALSE POSITIVE
5471108,12.427076,17.447,47.5,0.82,1.193,25.3,0.026,5841.0,4.278,870.0,135.77,FALSE POSITIVE
5524229,22.4932751,3.172,152.0,6.04,4.98,11.2,0.1313,5186.0,3.273,1183.0,463.56,CANDIDATE
5525484,315.502534,3.112,689.2,19.71,7.752,9.5,0.02,4970.0,2.989,565.0,24.01,FALSE POSITIVE
5529385,215.732414,1.915,208.2,1.26,0.856,7.3,0.4046,5790.0,4.479,292.0,1.72,CANDIDATE
5547424,276.54167976,7.76,,,,,,,,,,FALSE POSITIVE
5551240,4.13960513,3.31,106.7,1.24,1.181,11.6,0.344,6535.0,4.373,1352.0,789.48,CONFIRMED
6527229,200.79976002,7.6419,92642.0,48.77,0.916,930.8,1.016,5896.0,4.518,303.0,2.0,FALSE POSITIVE
6543192,8.0906952,2.648,82.4,0.8,0.902,8.1,0.151,5374.0,4.495,811.0,102.43,CANDIDATE
6543674,1.195515364,6.08509,396400.0,156.91,2.264,4630.1,0.475,6047.0,3.789,2640.0,11494.67,FALSE POSITIVE
6548429,210.971635,3.578,519.0,2.04,0.897,6.5,0.2091,5838.0,4.529,293.0,1.75,FALSE POSITIVE
6594945,188.954072,14.17,166.5,2.46,1.899,10.9,0.014,6392.0,3.967,468.0,11.36,CANDIDATE
6599305,42.02646,2.553,190.0,1.5,1.016,6.0,0.7156,6158.0,4.431,561.0,23.47,FALSE POSITIVE
6600515,372.04697,14.29,673.4,2.7,1.041,25.2,0.0457,6173.0,4.447,271.0,1.28,FALSE POSITIVE
6608090,438.81524,6.75,332.8,1.36,0.755,9.2,0.108,5324.0,4.551,202.0,0.39,FALSE POSITIVE
2010607,18.622214,4.42,5832.0,20.83,2.471,20.1,0.792,6235.0,3.801,1101.0,347.32,FALSE POSITIVE
2015013,27.8923345,2.204,139.6,2.1,1.78,9.0,0.0465,5873.0,3.96,807.0,100.41,FALSE POSITIVE
2019199,579.81521,5.43,607.0,2.71,0.969,7.9,0.8425,5822.0,4.449,218.0,0.53,CANDIDATE
2158460,19.12788374,2.0,,,,,,,,,,CANDIDATE
2163226,452.10093,12.69,464.0,2.08,0.956,6.2,0.1063,6276.0,4.456,254.0,0.99,FALSE POSITIVE
2165352,0.7906069,3.3996,689.2,17.97,0.72,133.3,1.198,4994.0,4.62,1503.0,1201.17,FALSE POSITIVE
2305255,24.5714867,29.96,506.4,3.04,0.956,31.1,0.978,5977.0,4.462,637.0,39.0,FALSE POSITIVE
2305543,0.681137796,2.7287,105190.0,45.75,0.864,432.5,0.968,5872.0,4.474,2025.0,3995.23,FALSE POSITIVE
4276114,3.722404453,2.5214,55368.0,144.2,0.799,148.9,2.375,5747.0,4.542,1082.0,323.4,FALSE POSITIVE
